2023-01-02 14:52:41,595 INFO    MainThread:5647 [wandb_setup.py:_flush():68] Configure stats pid to 5647
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_setup.py:_flush():68] Loading settings from /Users/philipherp/.config/wandb/settings
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_setup.py:_flush():68] Loading settings from /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/segregate/wandb/settings
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'project': 'exercise_14', 'run_group': 'dev', '_require_service': 'True'}
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'starter/segregate/run.py', 'program': '/Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/segregate/run.py'}
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_init.py:_log_setup():476] Logging user logs to /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/segregate/wandb/run-20230102_145241-1wil2muq/logs/debug.log
2023-01-02 14:52:41,596 INFO    MainThread:5647 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/segregate/wandb/run-20230102_145241-1wil2muq/logs/debug-internal.log
2023-01-02 14:52:41,597 INFO    MainThread:5647 [wandb_init.py:init():516] calling init triggers
2023-01-02 14:52:41,597 INFO    MainThread:5647 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-02 14:52:41,597 INFO    MainThread:5647 [wandb_init.py:init():569] starting backend
2023-01-02 14:52:41,597 INFO    MainThread:5647 [wandb_init.py:init():573] setting up manager
2023-01-02 14:52:41,599 INFO    MainThread:5647 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-02 14:52:41,602 INFO    MainThread:5647 [wandb_init.py:init():580] backend started and connected
2023-01-02 14:52:41,604 INFO    MainThread:5647 [wandb_init.py:init():658] updated telemetry
2023-01-02 14:52:41,645 INFO    MainThread:5647 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-02 14:52:42,111 INFO    MainThread:5647 [wandb_run.py:_on_init():2006] communicating current version
2023-01-02 14:52:42,264 INFO    MainThread:5647 [wandb_run.py:_on_init():2010] got version response 
2023-01-02 14:52:42,264 INFO    MainThread:5647 [wandb_init.py:init():728] starting run threads in backend
2023-01-02 14:52:43,581 INFO    MainThread:5647 [wandb_run.py:_console_start():1986] atexit reg
2023-01-02 14:52:43,581 INFO    MainThread:5647 [wandb_run.py:_redirect():1844] redirect: 3
2023-01-02 14:52:43,581 INFO    MainThread:5647 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-02 14:52:43,581 INFO    MainThread:5647 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-02 14:52:43,581 INFO    MainThread:5647 [wandb_init.py:init():765] run started, returning control to user process
2023-01-02 14:53:01,072 WARNING MsgRouterThr:5647 [router.py:message_loop():77] message_loop has been closed
